"fin" "slice" "csa" "NA" "NA"
"Aligned_ray1_v" 24 0.072731642 0.000240623 0.000872362
"Aligned_ray1_v" 25 0.051951173 0.000156584 0.000365208
"Aligned_ray1_v" 26 0.072731642 0.00045039 0.000477526
"Aligned_ray1_v" 27 0.083121876 0.00047681 0.000719713
"Aligned_ray1_v" 28 0.072731642 0.000278889 0.000710717
"Aligned_ray1_v" 29 0.062341407 0.000269892 0.000449821
"Aligned_ray1_v" 30 0.072731642 0.000357923 0.000662527
"Aligned_ray1_v" 31 0.083121876 0.00047681 0.000719713
"Aligned_ray1_v" 32 0.062341407 0.000269892 0.000449821
"Aligned_ray1_v" 33 0.083121876 0.00047681 0.000719713
"Aligned_ray1_v" 34 0.062341407 0.000198774 0.000646889
"Aligned_ray1_v" 35 0.062341407 0.000269892 0.000449821
"Aligned_ray1_v" 36 0.072731642 0.000407318 0.000705667
"Aligned_ray1_v" 37 0.072731642 0.000571915 0.00060276
"Aligned_ray1_v" 38 0.083121876 0.000490793 0.000827182
"Aligned_ray1_v" 39 0.072731642 0.00045039 0.000477526
"Aligned_ray1_v" 40 0.083121876 0.00047681 0.000719713
"Aligned_ray1_v" 41 0.051951173 0.000260896 0.000260896
"Aligned_ray1_v" 42 0.062341407 0.000225566 0.000476155
"Aligned_ray1_v" 43 0.062341407 0.000304269 0.000631358
"Aligned_ray1_v" 44 0.072731642 0.000357923 0.000662527
"Aligned_ray1_v" 45 0.051951173 0.000260896 0.000260896
"Aligned_ray1_v" 46 0.051951173 0.000260896 0.000260896
"Aligned_ray1_v" 47 0.031170704 4.2429e-05 0.000299435
"Aligned_ray1_v" 48 0.041560938 0.000143943 0.000143943
"Aligned_ray1_v" 49 0.051951173 0.000156584 0.000365208
"Aligned_ray1_v" 50 0.062341407 0.000340034 0.000559608
"Aligned_ray1_v" 51 0.051951173 0.000156584 0.000365208
"Aligned_ray1_v" 52 0.051951173 0.000260896 0.000260896
"Aligned_ray1_v" 53 0.041560938 0.000143943 0.000359857
"Aligned_ray1_v" 54 0.051951173 0.000287366 0.000536706
"Aligned_ray1_v" 55 0.062341407 0.000269892 0.000449821
"Aligned_ray1_v" 56 0.062341407 0.000269892 0.000449821
"Aligned_ray1_v" 57 0.072731642 0.000357923 0.000662527
"Aligned_ray1_v" 58 0.062341407 0.000269892 0.000449821
