fin	slice	csa	second_moment_min	second_moment_max
Aligned_pair3_d	141	1.304	0.095	0.206
Aligned_pair3_d	142	1.309	0.098	0.21
Aligned_pair3_d	143	1.284	0.093	0.204
Aligned_pair3_d	144	1.279	0.092	0.199
Aligned_pair3_d	145	1.27	0.093	0.193
Aligned_pair3_d	146	1.309	0.096	0.208
Aligned_pair3_d	147	1.274	0.095	0.188
Aligned_pair3_d	148	1.27	0.093	0.188
Aligned_pair3_d	149	1.26	0.093	0.185
Aligned_pair3_d	150	1.24	0.086	0.184
Aligned_pair3_d	151	1.25	0.088	0.193
Aligned_pair3_d	152	1.255	0.086	0.198
Aligned_pair3_d	153	1.289	0.093	0.2
Aligned_pair3_d	154	1.314	0.093	0.214
Aligned_pair3_d	155	1.377	0.105	0.229
Aligned_pair3_d	156	1.343	0.1	0.216
Aligned_pair3_d	157	1.358	0.101	0.226
Aligned_pair3_d	158	1.348	0.098	0.23
Aligned_pair3_d	159	1.377	0.099	0.242
Aligned_pair3_d	160	1.363	0.099	0.235
Aligned_pair3_d	161	1.431	0.115	0.245
Aligned_pair3_d	162	1.431	0.12	0.229
Aligned_pair3_d	163	1.431	0.117	0.238
Aligned_pair3_d	164	1.358	0.098	0.23
Aligned_pair3_d	165	1.343	0.096	0.223
Aligned_pair3_d	166	1.372	0.1	0.233
Aligned_pair3_d	167	1.421	0.113	0.237
Aligned_pair3_d	168	1.417	0.115	0.228
Aligned_pair3_d	169	1.421	0.115	0.233
Aligned_pair3_d	170	1.387	0.107	0.228
Aligned_pair3_d	171	1.387	0.11	0.22
Aligned_pair3_d	172	1.392	0.111	0.222
Aligned_pair3_d	173	1.431	0.118	0.233
Aligned_pair3_d	174	1.471	0.129	0.237
Aligned_pair3_d	175	1.475	0.13	0.239
Aligned_pair3_d	176	1.495	0.125	0.264
Aligned_pair3_d	177	1.412	0.111	0.235
Aligned_pair3_d	178	1.475	0.123	0.251
Aligned_pair3_d	179	1.446	0.12	0.24
Aligned_pair3_d	180	1.456	0.126	0.234
Aligned_pair3_d	181	1.461	0.123	0.238
Aligned_pair3_d	182	1.446	0.117	0.248
Aligned_pair3_d	183	1.382	0.102	0.234
Aligned_pair3_d	184	1.363	0.101	0.224
Aligned_pair3_d	185	1.392	0.107	0.227
Aligned_pair3_d	186	1.407	0.113	0.225
Aligned_pair3_d	187	1.421	0.116	0.229
Aligned_pair3_d	188	1.353	0.101	0.224
Aligned_pair3_d	189	1.338	0.093	0.227
Aligned_pair3_d	190	1.323	0.09	0.227
Aligned_pair3_d	191	1.338	0.089	0.237
Aligned_pair3_d	192	1.387	0.103	0.24
Aligned_pair3_d	193	1.417	0.109	0.244
Aligned_pair3_d	194	1.368	0.098	0.243
Aligned_pair3_d	195	1.333	0.087	0.242
Aligned_pair3_d	196	1.309	0.085	0.229
Aligned_pair3_d	197	1.284	0.079	0.231
Aligned_pair3_d	198	1.274	0.08	0.22
Aligned_pair3_d	199	1.221	0.074	0.2
Aligned_pair3_d	200	1.211	0.066	0.214
Aligned_pair3_d	201	1.181	0.062	0.21
Aligned_pair3_d	202	1.181	0.06	0.215
Aligned_pair3_d	203	1.201	0.066	0.21
Aligned_pair3_d	204	1.265	0.077	0.221
Aligned_pair3_d	205	1.245	0.077	0.207
Aligned_pair3_d	206	1.221	0.075	0.202
Aligned_pair3_d	207	1.147	0.063	0.182
Aligned_pair3_d	208	1.142	0.061	0.187
Aligned_pair3_d	209	1.132	0.059	0.185
Aligned_pair3_d	210	1.132	0.062	0.177
Aligned_pair3_d	211	1.132	0.063	0.172
Aligned_pair3_d	212	1.127	0.063	0.175
Aligned_pair3_d	213	1.098	0.057	0.175
Aligned_pair3_d	214	1.073	0.054	0.167
Aligned_pair3_d	215	1.039	0.048	0.163
Aligned_pair3_d	216	1.083	0.057	0.168
Aligned_pair3_d	217	1.054	0.055	0.152
Aligned_pair3_d	218	1.069	0.056	0.16
Aligned_pair3_v	20	1.024	0.075	0.1
Aligned_pair3_v	21	1.024	0.075	0.1
Aligned_pair3_v	22	1.039	0.075	0.106
Aligned_pair3_v	23	1.029	0.072	0.105
Aligned_pair3_v	24	1.039	0.075	0.105
Aligned_pair3_v	25	1.044	0.078	0.102
Aligned_pair3_v	26	1.039	0.077	0.102
Aligned_pair3_v	27	1.039	0.074	0.105
Aligned_pair3_v	28	0.995	0.072	0.092
Aligned_pair3_v	29	1.044	0.073	0.108
Aligned_pair3_v	30	1.015	0.071	0.099
Aligned_pair3_v	31	1.044	0.077	0.103
Aligned_pair3_v	32	1.073	0.08	0.11
Aligned_pair3_v	33	1.064	0.078	0.109
Aligned_pair3_v	34	1.083	0.082	0.113
Aligned_pair3_v	35	1.073	0.078	0.115
Aligned_pair3_v	36	1.039	0.074	0.106
Aligned_pair3_v	37	1.029	0.075	0.101
Aligned_pair3_v	38	1.044	0.077	0.104
Aligned_pair3_v	39	1	0.073	0.093
Aligned_pair3_v	40	1.02	0.066	0.109
Aligned_pair3_v	41	0.985	0.066	0.097
Aligned_pair3_v	42	1.024	0.07	0.108
Aligned_pair3_v	43	0.985	0.064	0.099
Aligned_pair3_v	44	1.015	0.069	0.105
Aligned_pair3_v	45	0.975	0.064	0.098
Aligned_pair3_v	46	0.975	0.059	0.102
Aligned_pair3_v	47	0.971	0.06	0.101
Aligned_pair3_v	48	0.99	0.066	0.102
Aligned_pair3_v	49	1.015	0.066	0.11
Aligned_pair3_v	50	0.995	0.064	0.104
Aligned_pair3_v	51	1.005	0.063	0.108
Aligned_pair3_v	52	0.995	0.063	0.104
Aligned_pair3_v	53	1.034	0.065	0.117
Aligned_pair3_v	54	1.029	0.07	0.109
Aligned_pair3_v	55	1.044	0.07	0.117
Aligned_pair3_v	56	1.039	0.07	0.112
Aligned_pair3_v	57	1.049	0.071	0.116
Aligned_pair3_v	58	1.039	0.073	0.107
Aligned_pair3_v	59	1.083	0.077	0.121
Aligned_pair3_v	60	1.098	0.079	0.125
Aligned_pair3_v	61	1.093	0.077	0.13
Aligned_pair3_v	62	1.098	0.077	0.133
Aligned_pair3_v	63	1.078	0.075	0.125
Aligned_pair3_v	64	1.118	0.079	0.135
Aligned_pair3_v	65	1.093	0.083	0.118
Aligned_pair3_v	66	1.118	0.081	0.131
Aligned_pair3_v	67	1.059	0.075	0.115
Aligned_pair3_v	68	1.093	0.08	0.122
Aligned_pair3_v	69	1.054	0.073	0.115
Aligned_pair3_v	70	1.103	0.08	0.128
Aligned_pair3_v	71	1.093	0.078	0.128
Aligned_pair3_v	72	1.127	0.086	0.13
Aligned_pair3_v	73	1.093	0.079	0.127
Aligned_pair3_v	74	1.113	0.082	0.133
Aligned_pair3_v	75	1.127	0.079	0.145
Aligned_pair3_v	76	1.093	0.074	0.133
Aligned_pair3_v	77	1.152	0.081	0.148
Aligned_pair3_v	78	1.098	0.078	0.128
Aligned_pair3_v	79	1.142	0.083	0.142
Aligned_pair3_v	80	1.103	0.078	0.133
Aligned_pair3_v	81	1.103	0.074	0.14
Aligned_pair3_v	82	1.078	0.065	0.144
Aligned_pair3_v	83	1.098	0.067	0.146
Aligned_pair3_v	84	1.093	0.069	0.141
Aligned_pair3_v	85	1.118	0.074	0.141
Aligned_pair3_v	86	1.118	0.073	0.145
Aligned_pair3_v	87	1.064	0.065	0.134
Aligned_pair3_v	88	1.088	0.064	0.15
Aligned_pair3_v	89	1.078	0.063	0.143
Aligned_pair3_v	90	1.093	0.064	0.146
Aligned_pair3_v	91	1.069	0.067	0.129
Aligned_pair3_v	92	1.122	0.072	0.146
Aligned_pair3_v	93	1.073	0.067	0.136
Aligned_pair3_v	94	1.088	0.066	0.147
Aligned_pair3_v	95	1.118	0.065	0.16
Aligned_pair3_v	96	1.103	0.066	0.147
Aligned_pair3_v	97	1.113	0.068	0.15
Aligned_pair3_v	98	1.093	0.07	0.137
Aligned_pair3_v	99	1.098	0.068	0.144
Aligned_pair3_v	100	1.083	0.068	0.14
Aligned_pair3_v	101	1.132	0.071	0.159
Aligned_pair3_v	102	1.127	0.073	0.151
Aligned_pair3_v	103	1.118	0.074	0.142
Aligned_pair3_v	104	1.103	0.073	0.138
Aligned_pair3_v	105	1.093	0.072	0.133
Aligned_pair3_v	106	1.083	0.071	0.132
Aligned_pair3_v	107	1.142	0.076	0.151
Aligned_pair3_v	108	1.186	0.081	0.164
Aligned_pair3_v	109	1.191	0.084	0.16
Aligned_pair3_v	110	1.176	0.085	0.152
Aligned_pair3_v	111	1.162	0.08	0.152
Aligned_pair3_v	112	1.172	0.082	0.156
Aligned_pair3_v	113	1.167	0.085	0.145
Aligned_pair3_v	114	1.206	0.089	0.159
Aligned_pair3_v	115	1.186	0.086	0.153
Aligned_pair3_v	116	1.211	0.09	0.161
Aligned_pair3_v	117	1.201	0.089	0.157
Aligned_pair3_v	118	1.176	0.086	0.149
Aligned_pair3_v	119	1.162	0.081	0.155
Aligned_pair3_v	120	1.176	0.081	0.166
Aligned_pair3_v	121	1.162	0.079	0.162
Aligned_pair3_v	122	1.211	0.086	0.168
Aligned_pair3_v	123	1.206	0.085	0.167
Aligned_pair3_v	124	1.191	0.085	0.159
Aligned_pair3_v	125	1.216	0.087	0.174
Aligned_pair3_v	126	1.196	0.083	0.168
Aligned_pair3_v	127	1.206	0.085	0.176
Aligned_pair3_v	128	1.172	0.08	0.168
Aligned_pair3_v	129	1.167	0.078	0.161
Aligned_pair3_v	130	1.176	0.082	0.157
Aligned_pair3_v	131	1.221	0.088	0.168
Aligned_pair3_v	132	1.216	0.085	0.171
Aligned_pair3_v	133	1.23	0.092	0.17
Aligned_pair3_v	134	1.221	0.09	0.175
Aligned_pair3_v	135	1.221	0.086	0.177
Aligned_pair3_v	136	1.23	0.088	0.181
Aligned_pair3_v	137	1.216	0.084	0.178
Aligned_pair3_v	138	1.23	0.088	0.181
Aligned_pair3_v	139	1.24	0.093	0.177
Aligned_pair3_v	140	1.235	0.092	0.175
Aligned_pair3_v	141	1.225	0.09	0.174
Aligned_pair3_v	142	1.23	0.088	0.177
Aligned_pair3_v	143	1.25	0.09	0.184
Aligned_pair3_v	144	1.23	0.091	0.173
Aligned_pair3_v	145	1.216	0.087	0.176
Aligned_pair3_v	146	1.23	0.089	0.183
Aligned_pair3_v	147	1.255	0.092	0.192
Aligned_pair3_v	148	1.245	0.094	0.182
Aligned_pair3_v	149	1.24	0.091	0.182
Aligned_pair3_v	150	1.26	0.096	0.183
Aligned_pair3_v	151	1.265	0.097	0.186
Aligned_pair3_v	152	1.245	0.095	0.172
Aligned_pair3_v	153	1.225	0.089	0.182
Aligned_pair3_v	154	1.245	0.093	0.185
Aligned_pair3_v	155	1.206	0.087	0.178
Aligned_pair3_v	156	1.225	0.088	0.178
Aligned_pair3_v	157	1.235	0.089	0.182
Aligned_pair3_v	158	1.235	0.089	0.178
Aligned_pair3_v	159	1.225	0.088	0.18
Aligned_pair3_v	160	1.196	0.084	0.172
Aligned_pair3_v	161	1.167	0.076	0.175
Aligned_pair3_v	162	1.142	0.073	0.165
Aligned_pair3_v	163	1.142	0.07	0.166
Aligned_pair3_v	164	1.176	0.079	0.166
Aligned_pair3_v	165	1.196	0.083	0.168
Aligned_pair3_v	166	1.216	0.087	0.173
Aligned_pair3_v	167	1.201	0.086	0.17
Aligned_pair3_v	168	1.176	0.082	0.169
Aligned_pair3_v	169	1.152	0.072	0.169
Aligned_pair3_v	170	1.147	0.07	0.17
Aligned_pair3_v	171	1.152	0.072	0.165
Aligned_pair3_v	172	1.142	0.073	0.162
Aligned_pair3_v	173	1.137	0.075	0.155
Aligned_pair3_v	174	1.201	0.086	0.17
Aligned_pair3_v	175	1.201	0.086	0.171
Aligned_pair3_v	176	1.196	0.082	0.175
Aligned_pair3_v	177	1.167	0.076	0.165
Aligned_pair3_v	178	1.142	0.074	0.158
Aligned_pair3_v	179	1.132	0.072	0.156
Aligned_pair3_v	180	1.152	0.074	0.168
Aligned_pair3_v	181	1.137	0.071	0.166
Aligned_pair3_v	182	1.118	0.067	0.158
Aligned_pair3_v	183	1.142	0.072	0.157
