"fin" "slice" "csa" "second_moment_min" "second_moment_max"
"Aligned_pair1_d" 136 0.364 0.007 0.019
"Aligned_pair1_d" 137 0.331 0.005 0.017
"Aligned_pair1_v" 16 0.329 0.005 0.015
"Aligned_pair1_v" 17 0.32 0.005 0.014
"Aligned_pair1_v" 18 0.326 0.006 0.013
"Aligned_pair1_v" 19 0.358 0.007 0.017
"Aligned_pair1_v" 20 0.349 0.007 0.014
"Aligned_pair1_v" 21 0.343 0.006 0.015
"Aligned_pair1_v" 22 0.37 0.007 0.017
"Aligned_pair1_v" 23 0.346 0.007 0.014
"Aligned_pair1_v" 24 0.358 0.007 0.015
"Aligned_pair1_v" 25 0.364 0.007 0.015
"Aligned_pair1_v" 26 0.346 0.006 0.016
"Aligned_pair1_v" 27 0.364 0.007 0.017
"Aligned_pair1_v" 28 0.387 0.008 0.019
"Aligned_pair1_v" 29 0.378 0.008 0.018
"Aligned_pair1_v" 30 0.355 0.006 0.016
"Aligned_pair1_v" 31 0.352 0.007 0.015
"Aligned_pair1_v" 32 0.358 0.006 0.017
"Aligned_pair1_v" 33 0.346 0.006 0.015
"Aligned_pair1_v" 34 0.323 0.006 0.012
"Aligned_pair1_v" 35 0.329 0.006 0.014
"Aligned_pair1_v" 36 0.329 0.006 0.013
"Aligned_pair1_v" 37 0.334 0.006 0.014
"Aligned_pair1_v" 38 0.326 0.006 0.013
"Aligned_pair1_v" 39 0.329 0.005 0.015
"Aligned_pair1_v" 40 0.331 0.006 0.014
"Aligned_pair1_v" 41 0.337 0.006 0.014
"Aligned_pair1_v" 42 0.337 0.006 0.015
"Aligned_pair1_v" 43 0.355 0.006 0.017
"Aligned_pair1_v" 44 0.358 0.006 0.018
"Aligned_pair1_v" 45 0.352 0.006 0.017
"Aligned_pair1_v" 46 0.358 0.006 0.018
"Aligned_pair1_v" 47 0.364 0.006 0.019
"Aligned_pair1_v" 48 0.355 0.006 0.017
"Aligned_pair1_v" 49 0.346 0.007 0.014
"Aligned_pair1_v" 50 0.358 0.007 0.017
"Aligned_pair1_v" 51 0.367 0.007 0.019
"Aligned_pair1_v" 52 0.375 0.007 0.02
"Aligned_pair1_v" 53 0.39 0.007 0.022
"Aligned_pair1_v" 54 0.381 0.007 0.021
"Aligned_pair1_v" 55 0.384 0.007 0.021
"Aligned_pair1_v" 56 0.349 0.006 0.016
"Aligned_pair1_v" 57 0.334 0.005 0.016
"Aligned_pair1_v" 58 0.337 0.005 0.017
"Aligned_pair1_v" 59 0.346 0.005 0.018
"Aligned_pair1_v" 60 0.352 0.006 0.018
"Aligned_pair1_v" 61 0.358 0.006 0.019
"Aligned_pair1_v" 62 0.346 0.005 0.019
"Aligned_pair1_v" 63 0.331 0.005 0.017
"Aligned_pair1_v" 64 0.329 0.005 0.015
"Aligned_pair1_v" 65 0.326 0.005 0.015
"Aligned_pair1_v" 66 0.331 0.004 0.018
"Aligned_pair1_v" 67 0.334 0.004 0.019
"Aligned_pair1_v" 68 0.34 0.005 0.019
"Aligned_pair1_v" 69 0.329 0.004 0.019
"Aligned_pair1_v" 70 0.311 0.004 0.017
"Aligned_pair1_v" 71 0.32 0.004 0.018
"Aligned_pair1_v" 72 0.302 0.004 0.014
"Aligned_pair1_v" 73 0.314 0.005 0.014
"Aligned_pair1_v" 74 0.323 0.005 0.015
"Aligned_pair1_v" 75 0.331 0.005 0.016
"Aligned_pair1_v" 76 0.323 0.005 0.016
"Aligned_pair1_v" 77 0.314 0.004 0.016
"Aligned_pair1_v" 78 0.331 0.005 0.017
"Aligned_pair1_v" 79 0.32 0.004 0.016
"Aligned_pair1_v" 80 0.326 0.005 0.016
"Aligned_pair1_v" 81 0.32 0.005 0.015
"Aligned_pair1_v" 82 0.329 0.005 0.015
