Label	Slice	CSA	X_cent._(_)	Y_cent._(_)	wX_cent._(_)	wY_cent._(_)	Theta_(rad)	R1_(_)	R2_(_)	Imin_(_^4)	Imax_(_^4)	Ipm_(_^4)	Zmax_(_A^3)	Zmin_(_A^3)	Zpol_(_A^3)	Feret_Min_(_)	Feret_Max_(_)	Feret_Angle_(rad)	Perimeter_(_)	Max_Thick_2D_(_)	Mean_Thick_2D_(_)	SD_Thick_2D_(_)	Cr_(rad)	M_(rad)	ICrCa(_^4)	IML(_^4)	ZCrCa(__A)	ZML(__A)	RCrCa(_)	RML(_)	DCrCa(_)	DML(_)
Aligned_pair1_d	35	1.088	0.844	1.284	0.844	1.284	1.54	0.43	0.748	0.061	0.149	0.181	0.2	0.143	0.281	0.91	1.555	1.706	4.32	0	0	0	0	1.571	0.061	0.149	0.145	0.2	0.424	0.746	1.54	0.91
Aligned_pair1_d	36	1.088	0.834	1.279	0.834	1.279	-1.561	0.428	0.684	0.06	0.149	0.181	0.218	0.141	0.295	0.91	1.508	1.19	3.965	0.98	0.949	0.051	0	1.571	0.06	0.149	0.142	0.219	0.426	0.682	1.4	0.91
Aligned_pair1_d	37	1.122	0.841	1.273	0.841	1.273	1.456	0.464	0.769	0.064	0.16	0.185	0.208	0.138	0.291	0.98	1.566	1.751	4.139	0	NaN	NaN	0	1.571	0.065	0.159	0.133	0.21	0.489	0.758	1.54	0.98
Aligned_pair1_d	38	1.103	0.855	1.273	0.855	1.273	1.472	0.474	0.697	0.064	0.149	0.182	0.214	0.135	0.302	0.98	1.484	1.234	4.023	0	0	0	0	1.571	0.065	0.148	0.137	0.216	0.475	0.688	1.4	0.98
Aligned_pair1_d	39	1.103	0.858	1.259	0.858	1.259	1.504	0.492	0.713	0.064	0.153	0.183	0.214	0.131	0.298	0.98	1.484	1.907	4.18	0.939	0.899	0.07	0	1.571	0.065	0.152	0.128	0.217	0.508	0.702	1.4	0.98
Aligned_pair1_d	40	1.059	0.854	1.264	0.854	1.264	1.505	0.437	0.707	0.059	0.139	0.176	0.197	0.134	0.274	0.91	1.462	1.862	4.023	3.431	3.226	0.334	0	1.571	0.059	0.139	0.136	0.2	0.434	0.696	1.4	0.91
Aligned_pair1_d	41	1.02	0.836	1.266	0.836	1.266	1.48	0.436	0.716	0.054	0.131	0.169	0.183	0.124	0.255	0.91	1.529	1.849	4.081	0	0	0	0	1.571	0.054	0.131	0.128	0.185	0.424	0.706	1.47	0.91
Aligned_pair1_d	42	1.024	0.823	1.244	0.823	1.244	1.525	0.439	0.685	0.054	0.134	0.17	0.196	0.122	0.252	0.91	1.484	1.234	4.023	0	0	0	0	1.571	0.054	0.134	0.123	0.196	0.437	0.684	1.4	0.91
Aligned_pair1_d	43	1.044	0.824	1.256	0.824	1.256	1.506	0.439	0.767	0.054	0.148	0.173	0.193	0.123	0.264	0.91	1.547	1.661	4.238	0	0	0	0	1.571	0.055	0.148	0.125	0.193	0.436	0.766	1.54	0.91
Aligned_pair1_d	44	1.059	0.835	1.231	0.835	1.231	1.457	0.447	0.743	0.056	0.15	0.174	0.202	0.125	0.277	0.91	1.529	1.849	4.064	0	NaN	NaN	0	1.571	0.057	0.149	0.134	0.201	0.425	0.741	1.47	0.91
Aligned_pair1_d	45	1.059	0.854	1.222	0.854	1.222	1.449	0.417	0.749	0.054	0.153	0.174	0.205	0.129	0.276	0.897	1.58	1.794	4.081	0.84	0.834	0.045	0	1.571	0.055	0.152	0.127	0.206	0.434	0.739	1.54	0.91
Aligned_pair1_d	46	1.049	0.854	1.209	0.854	1.209	1.545	0.431	0.721	0.054	0.15	0.175	0.208	0.124	0.281	0.897	1.511	1.805	4.023	0	0	0	0	1.571	0.054	0.15	0.124	0.208	0.434	0.719	1.47	0.91
Aligned_pair1_d	47	1.049	0.831	1.216	0.831	1.216	1.519	0.479	0.685	0.058	0.141	0.174	0.205	0.121	0.28	0.963	1.462	1.279	4.221	0.852	0.83	0.066	0	1.571	0.058	0.14	0.121	0.208	0.481	0.675	1.4	0.98
Aligned_pair1_d	48	1.073	0.809	1.206	0.809	1.206	1.509	0.522	0.698	0.061	0.144	0.178	0.207	0.117	0.283	1.024	1.462	1.862	4.081	0	0	0	0	1.571	0.062	0.144	0.116	0.21	0.529	0.684	1.4	1.05
Aligned_pair1_d	49	1.127	0.788	1.216	0.788	1.216	1.457	0.509	0.745	0.073	0.151	0.185	0.202	0.143	0.297	0.98	1.497	1.383	4.163	0	0	0	0	1.571	0.074	0.15	0.145	0.201	0.508	0.744	1.47	0.98
Aligned_pair1_d	50	1.118	0.779	1.193	0.779	1.193	1.315	0.535	0.693	0.077	0.135	0.174	0.194	0.143	0.296	1.05	1.457	2.185	4.139	0	0	0	0	1.571	0.08	0.131	0.161	0.188	0.499	0.697	1.4	1.05
Aligned_pair1_d	51	1.088	0.772	1.196	0.772	1.196	1.337	0.509	0.708	0.071	0.132	0.172	0.187	0.14	0.285	1.05	1.515	2.159	4.221	0	0	0	0	1.571	0.074	0.129	0.151	0.186	0.492	0.695	1.4	1.05
Aligned_pair1_d	52	1.122	0.781	1.157	0.781	1.157	1.484	0.49	0.736	0.072	0.149	0.186	0.203	0.147	0.297	0.98	1.555	2.196	4.419	0	NaN	NaN	0	1.571	0.073	0.149	0.145	0.203	0.501	0.734	1.47	0.98
Aligned_pair1_d	53	1.103	0.764	1.186	0.764	1.186	1.518	0.49	0.715	0.074	0.137	0.183	0.191	0.151	0.281	0.98	1.485	1.429	4.081	0.98	0.929	0.107	0	1.571	0.074	0.137	0.153	0.194	0.484	0.705	1.47	0.98
Aligned_pair1_d	54	1.083	0.744	1.181	0.744	1.181	1.562	0.466	0.71	0.072	0.126	0.181	0.177	0.154	0.276	0.98	1.416	1.72	3.999	0	0	0	0	1.571	0.072	0.126	0.155	0.177	0.463	0.71	1.4	0.98
Aligned_pair1_d	55	1.054	0.726	1.202	0.726	1.202	1.482	0.475	0.695	0.067	0.122	0.174	0.176	0.141	0.272	0.98	1.407	1.67	4.139	0	NaN	NaN	0	1.571	0.067	0.122	0.145	0.177	0.464	0.688	1.4	0.98
Aligned_pair1_d	56	1.073	0.734	1.195	0.734	1.195	1.445	0.493	0.651	0.072	0.124	0.176	0.19	0.147	0.286	0.98	1.4	2.214	4.064	0	0	0	0	1.571	0.073	0.123	0.16	0.194	0.457	0.635	1.33	0.98
Aligned_pair1_d	57	1.059	0.751	1.19	0.751	1.19	1.47	0.482	0.713	0.072	0.117	0.175	0.165	0.15	0.264	0.98	1.418	0.996	4.105	0	0	0	0	1.571	0.073	0.117	0.154	0.167	0.471	0.7	1.4	0.98
Aligned_pair1_d	58	1.059	0.752	1.182	0.752	1.182	1.497	0.521	0.718	0.071	0.121	0.175	0.169	0.136	0.265	1.05	1.428	1.768	4.354	0	0	0	0	1.571	0.071	0.121	0.131	0.171	0.542	0.708	1.4	1.05
Aligned_pair1_d	59	1.054	0.738	1.184	0.738	1.184	1.568	0.459	0.706	0.07	0.117	0.176	0.165	0.153	0.257	0.98	1.416	1.72	3.982	0	0	0	0	1.571	0.07	0.117	0.153	0.165	0.458	0.706	1.4	0.98
Aligned_pair1_d	60	1.069	0.724	1.17	0.724	1.17	-1.525	0.467	0.711	0.069	0.126	0.178	0.177	0.149	0.263	0.98	1.443	1.969	4.354	0.98	0.95	0.09	0	1.571	0.07	0.126	0.149	0.175	0.466	0.72	1.4	0.98
Aligned_pair1_d	61	1.049	0.708	1.179	0.708	1.179	1.555	0.435	0.645	0.066	0.123	0.175	0.19	0.152	0.271	0.91	1.418	2.145	3.948	0.98	0.94	0.095	0	1.571	0.066	0.123	0.154	0.192	0.428	0.641	1.33	0.91
Aligned_pair1_d	62	1.098	0.713	1.162	0.713	1.162	1.529	0.454	0.739	0.073	0.14	0.183	0.189	0.161	0.274	0.91	1.508	1.951	4.402	0	0	0	0	1.571	0.073	0.14	0.169	0.192	0.433	0.729	1.47	0.91
Aligned_pair1_d	63	1.103	0.725	1.149	0.725	1.149	1.518	0.474	0.687	0.074	0.137	0.183	0.199	0.155	0.282	0.98	1.535	1.148	4.542	2.52	2.117	0.736	0	1.571	0.074	0.137	0.158	0.204	0.466	0.671	1.4	0.98
Aligned_pair1_d	64	1.078	0.735	1.134	0.735	1.134	1.527	0.473	0.699	0.07	0.136	0.179	0.194	0.149	0.273	0.98	1.515	2.159	4.46	0	0	0	0	1.571	0.07	0.136	0.155	0.198	0.455	0.686	1.4	0.98
Aligned_pair1_d	65	1.01	0.738	1.145	0.738	1.145	-1.53	0.409	0.688	0.057	0.127	0.168	0.185	0.139	0.247	0.84	1.535	1.148	4.245	0	0	0	0	1.571	0.057	0.127	0.147	0.188	0.388	0.676	1.4	0.84
Aligned_pair1_d	66	1.005	0.73	1.163	0.73	1.163	1.561	0.395	0.66	0.057	0.126	0.167	0.191	0.144	0.251	0.84	1.503	2.055	4.187	0	0	0	0	1.571	0.057	0.126	0.146	0.192	0.39	0.657	1.33	0.84
Aligned_pair1_d	67	0.966	0.717	1.153	0.717	1.153	1.563	0.406	0.669	0.051	0.12	0.161	0.179	0.125	0.234	0.84	1.472	1.128	4.204	0	0	0	0	1.571	0.051	0.12	0.126	0.18	0.403	0.667	1.33	0.84
Aligned_pair1_d	68	0.951	0.706	1.163	0.706	1.163	1.403	0.449	0.705	0.049	0.122	0.154	0.174	0.109	0.231	0.878	1.537	2.096	4.262	0.84	0.749	0.176	0	1.571	0.051	0.12	0.12	0.179	0.426	0.673	1.4	0.91
Aligned_pair1_d	69	1.01	0.706	1.154	0.706	1.154	1.436	0.455	0.707	0.057	0.123	0.165	0.174	0.126	0.241	0.91	1.503	2.055	4.204	0.897	0.855	0.103	0	1.571	0.058	0.122	0.137	0.183	0.426	0.666	1.4	0.91
Aligned_pair1_d	70	1.024	0.72	1.133	0.72	1.133	1.445	0.451	0.723	0.06	0.125	0.168	0.172	0.133	0.242	0.91	1.537	2.096	4.146	0	0	0	0	1.571	0.061	0.124	0.139	0.18	0.44	0.687	1.4	0.91
Aligned_pair1_d	71	0.975	0.722	1.144	0.722	1.144	-1.565	0.399	0.678	0.051	0.123	0.163	0.181	0.128	0.231	0.84	1.508	1.19	4.344	0.84	0.76	0.173	0	1.571	0.051	0.123	0.128	0.182	0.398	0.676	1.4	0.84
Aligned_pair1_d	72	0.946	0.714	1.145	0.714	1.145	-1.519	0.386	0.672	0.047	0.122	0.157	0.182	0.123	0.225	0.77	1.537	1.046	4.129	0	0	0	0	1.571	0.048	0.122	0.131	0.181	0.363	0.675	1.4	0.77
Aligned_pair1_d	73	0.985	0.701	1.127	0.701	1.127	-1.557	0.359	0.697	0.049	0.136	0.164	0.195	0.136	0.247	0.77	1.535	1.148	4.129	0	0	0	0	1.571	0.049	0.136	0.139	0.196	0.351	0.694	1.4	0.77
Aligned_pair1_d	74	0.98	0.713	1.124	0.713	1.124	1.514	0.398	0.711	0.052	0.134	0.163	0.189	0.13	0.249	0.84	1.537	2.096	4.443	0	0	0	0	1.571	0.052	0.134	0.127	0.192	0.407	0.697	1.4	0.84
Aligned_pair1_d	75	1.01	0.71	1.135	0.71	1.135	1.427	0.415	0.739	0.052	0.141	0.165	0.19	0.126	0.258	0.84	1.566	2.034	4.245	0	0	0	0	1.571	0.054	0.139	0.132	0.194	0.41	0.715	1.47	0.84
Aligned_pair1_d	76	0.995	0.745	1.12	0.745	1.12	1.425	0.422	0.788	0.051	0.134	0.162	0.17	0.121	0.234	0.84	1.6	1.976	4.402	0	0	0	0	1.571	0.053	0.132	0.134	0.172	0.395	0.769	1.47	0.84
Aligned_pair1_d	77	0.98	0.753	1.11	0.753	1.11	1.501	0.399	0.697	0.049	0.135	0.163	0.194	0.122	0.235	0.84	1.511	1.337	4.245	0.84	0.784	0.13	0	1.571	0.049	0.135	0.122	0.19	0.403	0.71	1.47	0.84
Aligned_pair1_d	78	0.966	0.756	1.138	0.756	1.138	1.535	0.377	0.792	0.047	0.133	0.161	0.168	0.126	0.219	0.77	1.634	1.399	4.426	0	0	0	0	1.571	0.047	0.133	0.13	0.169	0.364	0.788	1.61	0.77
Aligned_pair1_d	79	0.936	0.75	1.141	0.75	1.141	1.506	0.384	0.666	0.044	0.123	0.155	0.184	0.114	0.22	0.77	1.472	2.013	3.989	0.84	0.782	0.122	0	1.571	0.044	0.122	0.119	0.18	0.37	0.679	1.4	0.77
Aligned_pair1_d	80	0.912	0.747	1.165	0.747	1.165	1.538	0.404	0.714	0.044	0.115	0.152	0.161	0.109	0.2	0.84	1.535	1.148	4.286	0	0	0	0	1.571	0.044	0.115	0.112	0.158	0.397	0.725	1.4	0.84
Aligned_pair1_d	81	0.971	0.729	1.169	0.729	1.169	1.464	0.449	0.678	0.051	0.12	0.16	0.178	0.113	0.244	0.91	1.477	2.119	4.262	0	0	0	0	1.571	0.051	0.12	0.111	0.176	0.461	0.679	1.4	0.91
Aligned_pair1_d	82	0.971	0.741	1.158	0.741	1.158	1.484	0.439	0.708	0.049	0.124	0.161	0.175	0.113	0.224	0.901	1.529	1.292	4.163	0	0	0	0	1.571	0.05	0.123	0.111	0.168	0.449	0.732	1.47	0.91
Aligned_pair1_d	83	1	0.756	1.132	0.756	1.132	1.554	0.399	0.754	0.05	0.143	0.167	0.19	0.125	0.24	0.84	1.573	1.207	4.303	0	0	0	0	1.571	0.05	0.143	0.123	0.188	0.406	0.758	1.47	0.84
Aligned_pair1_d	84	1.024	0.757	1.133	0.757	1.133	-1.513	0.419	0.772	0.052	0.148	0.17	0.191	0.123	0.248	0.84	1.6	1.166	4.378	0	0	0	0	1.571	0.052	0.147	0.128	0.194	0.407	0.757	1.54	0.84
Aligned_pair1_d	85	1.024	0.743	1.133	0.743	1.133	-1.537	0.402	0.716	0.056	0.136	0.171	0.19	0.139	0.253	0.84	1.566	1.107	4.344	0.84	0.805	0.125	0	1.571	0.056	0.136	0.142	0.191	0.393	0.713	1.47	0.84
Aligned_pair1_d	86	1.034	0.731	1.145	0.731	1.145	-1.567	0.392	0.676	0.057	0.137	0.172	0.202	0.145	0.26	0.84	1.535	1.148	4.245	0	0	0	0	1.571	0.057	0.137	0.146	0.202	0.39	0.675	1.4	0.84
Aligned_pair1_d	87	1.059	0.739	1.158	0.739	1.158	1.505	0.439	0.681	0.062	0.14	0.176	0.205	0.142	0.277	0.91	1.503	2.055	4.204	0.84	0.801	0.107	0	1.571	0.063	0.14	0.139	0.209	0.452	0.668	1.4	0.91
Aligned_pair1_d	88	1.049	0.754	1.139	0.754	1.139	1.521	0.447	0.67	0.062	0.134	0.174	0.2	0.138	0.259	0.91	1.508	1.19	4.088	0	0	0	0	1.571	0.062	0.134	0.142	0.197	0.436	0.681	1.4	0.91
Aligned_pair1_d	89	1.049	0.767	1.116	0.767	1.116	-1.538	0.495	0.783	0.064	0.136	0.175	0.173	0.128	0.242	0.96	1.628	1.126	4.6	0	0	0	0	1.571	0.064	0.135	0.131	0.175	0.486	0.774	1.47	0.98
Aligned_pair1_d	90	1.083	0.753	1.114	0.753	1.114	-1.518	0.479	0.789	0.064	0.145	0.18	0.183	0.134	0.255	0.98	1.639	1.222	4.361	0	0	0	0	1.571	0.064	0.144	0.136	0.186	0.473	0.776	1.54	0.98
Aligned_pair1_d	91	1.078	0.74	1.139	0.74	1.139	1.564	0.461	0.648	0.069	0.132	0.18	0.204	0.149	0.279	0.98	1.472	1.128	4.221	0	0	0	0	1.571	0.069	0.132	0.149	0.204	0.46	0.649	1.33	0.98
Aligned_pair1_d	92	1.137	0.701	1.122	0.701	1.122	-1.511	0.495	0.713	0.077	0.143	0.189	0.201	0.155	0.301	1.05	1.484	1.234	4.163	0	0	0	0	1.571	0.077	0.143	0.157	0.204	0.491	0.702	1.4	1.05
Aligned_pair1_d	93	1.206	0.686	1.14	0.686	1.14	1.426	0.567	0.666	0.099	0.146	0.197	0.218	0.175	0.326	1.116	1.498	2.224	4.361	1.019	0.968	0.132	0	1.571	0.1	0.145	0.183	0.223	0.546	0.65	1.33	1.12
Aligned_pair1_d	94	1.289	0.669	1.143	0.669	1.143	1.313	0.663	0.77	0.115	0.16	0.201	0.207	0.173	0.337	1.19	1.633	2.111	4.6	0	0	0	0	1.571	0.118	0.157	0.196	0.232	0.599	0.677	1.4	1.19
Aligned_pair1_d	95	1.368	0.672	1.144	0.672	1.144	1.395	0.593	0.744	0.132	0.177	0.221	0.238	0.222	0.381	1.19	1.633	2.111	4.914	1.12	1.06	0.193	0	1.571	0.133	0.176	0.221	0.26	0.602	0.676	1.4	1.19
Aligned_pair1_d	96	1.368	0.661	1.131	0.661	1.131	-1.548	0.538	0.695	0.126	0.181	0.228	0.26	0.235	0.42	1.12	1.542	2.26	4.443	0	0	0	0	1.571	0.127	0.18	0.239	0.262	0.529	0.689	1.4	1.12
Aligned_pair1_d	97	1.387	0.661	1.143	0.661	1.143	-1.486	0.561	0.759	0.13	0.188	0.23	0.248	0.232	0.415	1.12	1.598	2.074	4.74	0	0	0	0	1.571	0.131	0.188	0.247	0.251	0.529	0.747	1.54	1.12
Aligned_pair1_d	98	1.363	0.646	1.141	0.646	1.141	-1.566	0.546	0.681	0.129	0.178	0.227	0.262	0.236	0.398	1.12	1.587	2.294	4.624	0	0	0	0	1.571	0.129	0.178	0.236	0.263	0.544	0.68	1.4	1.12
Aligned_pair1_d	99	1.353	0.649	1.156	0.649	1.156	-1.532	0.564	0.678	0.122	0.185	0.225	0.273	0.216	0.382	1.12	1.587	2.294	5.037	0	0	0	0	1.571	0.122	0.185	0.225	0.278	0.542	0.666	1.4	1.12
Aligned_pair1_d	100	1.343	0.648	1.132	0.648	1.132	1.516	0.546	0.686	0.119	0.178	0.223	0.259	0.218	0.41	1.12	1.515	0.983	4.344	0	0	0	0	1.571	0.119	0.178	0.22	0.258	0.542	0.688	1.4	1.12
Aligned_pair1_d	101	1.333	0.672	1.129	0.672	1.129	1.441	0.561	0.689	0.115	0.181	0.219	0.263	0.205	0.396	1.12	1.55	1.249	4.542	0	NaN	NaN	0	1.571	0.116	0.18	0.218	0.254	0.532	0.709	1.47	1.12
Aligned_pair1_d	102	1.328	0.666	1.136	0.666	1.136	1.486	0.559	0.685	0.118	0.175	0.22	0.256	0.211	0.399	1.12	1.515	2.159	4.559	0	0	0	0	1.571	0.118	0.175	0.225	0.255	0.526	0.684	1.4	1.12
Aligned_pair1_d	103	1.348	0.664	1.142	0.664	1.142	1.547	0.533	0.784	0.122	0.177	0.225	0.225	0.228	0.35	1.12	1.511	1.337	4.361	1.12	1.099	0.131	0	1.571	0.122	0.177	0.231	0.223	0.526	0.792	1.47	1.12
Aligned_pair1_d	104	1.338	0.66	1.144	0.66	1.144	1.416	0.575	0.742	0.119	0.175	0.218	0.236	0.207	0.395	1.12	1.529	1.849	4.576	0	0	0	0	1.571	0.12	0.174	0.226	0.24	0.53	0.724	1.47	1.12
Aligned_pair1_d	105	1.377	0.664	1.153	0.664	1.153	1.418	0.588	0.693	0.127	0.186	0.224	0.268	0.215	0.416	1.19	1.542	2.453	4.484	0	0	0	0	1.571	0.128	0.185	0.215	0.277	0.596	0.667	1.4	1.19
Aligned_pair1_d	106	1.348	0.666	1.159	0.666	1.159	1.15	0.665	0.74	0.121	0.179	0.187	0.242	0.182	0.405	1.19	1.537	2.096	4.634	0	0	0	0	1.571	0.13	0.169	0.219	0.229	0.594	0.739	1.47	1.19
Aligned_pair1_d	107	1.319	0.672	1.137	0.672	1.137	1.294	0.599	0.71	0.113	0.174	0.203	0.245	0.189	0.397	1.12	1.515	2.159	4.361	0	0	0	0	1.571	0.117	0.17	0.221	0.248	0.532	0.684	1.4	1.12
Aligned_pair1_d	108	1.309	0.692	1.144	0.692	1.144	1.385	0.573	0.706	0.114	0.174	0.211	0.247	0.198	0.38	1.12	1.587	2.294	4.525	0	0	0	0	1.571	0.115	0.172	0.209	0.255	0.552	0.676	1.4	1.12
Aligned_pair1_d	109	1.309	0.695	1.151	0.695	1.151	1.569	0.496	0.669	0.111	0.175	0.218	0.261	0.224	0.371	1.05	1.542	0.882	4.426	0	NaN	NaN	0	1.571	0.111	0.175	0.225	0.261	0.495	0.669	1.4	1.05
Aligned_pair1_d	110	1.328	0.7	1.156	0.7	1.156	1.406	0.57	0.761	0.117	0.179	0.215	0.236	0.205	0.385	1.12	1.598	2.074	4.624	0	0	0	0	1.571	0.118	0.178	0.211	0.242	0.56	0.736	1.47	1.12
Aligned_pair1_d	111	1.363	0.682	1.147	0.682	1.147	1.419	0.58	0.689	0.127	0.18	0.222	0.261	0.219	0.415	1.172	1.542	2.453	4.641	0	0	0	0	1.571	0.128	0.179	0.222	0.266	0.578	0.674	1.4	1.19
Aligned_pair1_d	112	1.402	0.7	1.152	0.7	1.152	1.258	0.652	0.737	0.14	0.184	0.212	0.25	0.215	0.433	1.19	1.573	2.134	4.6	0	0	0	0	1.571	0.144	0.18	0.257	0.269	0.561	0.669	1.4	1.19
Aligned_pair1_d	113	1.436	0.715	1.132	0.715	1.132	1.407	0.608	0.734	0.148	0.189	0.233	0.257	0.243	0.44	1.19	1.566	2.034	4.6	0	0	0	0	1.571	0.149	0.188	0.258	0.273	0.575	0.688	1.4	1.19
Aligned_pair1_d	114	1.446	0.737	1.12	0.737	1.12	1.543	0.589	0.707	0.143	0.205	0.241	0.289	0.244	0.417	1.19	1.695	0.903	4.764	0	0	0	0	1.571	0.143	0.205	0.24	0.292	0.597	0.7	1.47	1.19
Aligned_pair1_d	115	1.49	0.744	1.121	0.744	1.121	-1.395	0.599	0.825	0.142	0.233	0.241	0.282	0.237	0.437	1.12	1.767	0.983	4.764	0	0	0	0	1.571	0.145	0.23	0.272	0.298	0.534	0.771	1.54	1.12
