Label	Slice	CSA	X_cent._(_)	Y_cent._(_)	wX_cent._(_)	wY_cent._(_)	Theta_(rad)	R1_(_)	R2_(_)	Imin_(_^4)	Imax_(_^4)	Ipm_(_^4)	Zmax_(_A^3)	Zmin_(_A^3)	Zpol_(_A^3)	Feret_Min_(_)	Feret_Max_(_)	Feret_Angle_(rad)	Perimeter_(_)	Max_Thick_2D_(_)	Mean_Thick_2D_(_)	SD_Thick_2D_(_)	Cr_(rad)	M_(rad)	ICrCa(_^4)	IML(_^4)	ZCrCa(__A)	ZML(__A)	RCrCa(_)	RML(_)	DCrCa(_)	DML(_)
Aligned_pair1_d	116	1.485	0.746	1.118	0.746	1.118	-1.392	0.602	0.835	0.14	0.234	0.24	0.28	0.233	0.422	1.12	1.767	0.983	4.822	0	0	0	0	1.571	0.144	0.231	0.268	0.301	0.536	0.768	1.54	1.12
Aligned_pair1_d	117	1.471	0.74	1.107	0.74	1.107	-1.486	0.568	0.787	0.14	0.23	0.243	0.293	0.246	0.437	1.12	1.729	1.016	4.979	1.12	1.064	0.138	0	1.571	0.141	0.229	0.266	0.303	0.53	0.757	1.54	1.12
Aligned_pair1_d	118	1.421	0.739	1.13	0.739	1.13	-1.525	0.548	0.73	0.13	0.213	0.236	0.291	0.238	0.408	1.12	1.695	0.903	4.665	0	0	0	0	1.571	0.131	0.212	0.247	0.299	0.529	0.71	1.47	1.12
Aligned_pair1_d	119	1.412	0.754	1.122	0.754	1.122	1.428	0.558	0.733	0.129	0.205	0.231	0.28	0.231	0.435	1.12	1.597	0.91	4.682	0	0	0	0	1.571	0.13	0.204	0.239	0.29	0.544	0.702	1.47	1.12
Aligned_pair1_d	120	1.372	0.773	1.112	0.773	1.112	1.525	0.55	0.707	0.125	0.194	0.228	0.274	0.227	0.395	1.12	1.652	0.936	4.723	0	0	0	0	1.571	0.125	0.194	0.222	0.274	0.563	0.708	1.47	1.12
Aligned_pair1_d	121	1.368	0.789	1.117	0.789	1.117	1.499	0.543	0.726	0.118	0.2	0.227	0.276	0.217	0.409	1.05	1.573	2.134	4.525	0	0	0	0	1.571	0.118	0.2	0.232	0.284	0.509	0.704	1.47	1.05
Aligned_pair1_d	122	1.358	0.792	1.107	0.792	1.107	1.561	0.517	0.716	0.118	0.195	0.226	0.273	0.228	0.395	1.05	1.597	0.91	4.508	0	0	0	0	1.571	0.118	0.195	0.23	0.274	0.512	0.714	1.47	1.05
Aligned_pair1_d	123	1.387	0.786	1.111	0.786	1.111	1.531	0.528	0.72	0.122	0.207	0.231	0.288	0.231	0.413	1.05	1.612	0.971	4.607	0	0	0	0	1.571	0.122	0.207	0.241	0.292	0.506	0.71	1.47	1.05
Aligned_pair1_d	124	1.446	0.787	1.124	0.787	1.124	1.536	0.583	0.832	0.14	0.216	0.241	0.26	0.24	0.393	1.19	1.67	0.994	4.921	0	0	0	0	1.571	0.14	0.216	0.242	0.256	0.576	0.844	1.47	1.19
Aligned_pair1_d	125	1.49	0.792	1.126	0.792	1.126	1.38	0.61	0.757	0.148	0.224	0.239	0.296	0.243	0.456	1.19	1.66	1.088	4.938	1.196	1.079	0.207	0	1.571	0.151	0.222	0.259	0.286	0.582	0.776	1.54	1.19
Aligned_pair1_d	126	1.475	0.802	1.12	0.802	1.12	1.527	0.582	0.72	0.147	0.219	0.245	0.305	0.253	0.438	1.19	1.693	1.052	4.921	0	0	0	0	1.571	0.147	0.219	0.249	0.313	0.591	0.7	1.47	1.19
Aligned_pair1_d	127	1.441	0.807	1.148	0.807	1.148	-1.47	0.56	0.778	0.136	0.214	0.238	0.276	0.243	0.419	1.12	1.729	1.016	4.921	0	0	0	0	1.571	0.137	0.213	0.26	0.287	0.527	0.743	1.54	1.12
Aligned_pair1_d	128	1.471	0.797	1.143	0.797	1.143	-1.478	0.55	0.819	0.135	0.237	0.243	0.289	0.246	0.434	1.12	1.754	1.071	4.979	0	0	0	0	1.571	0.136	0.236	0.255	0.297	0.533	0.793	1.61	1.12
Aligned_pair1_d	129	1.426	0.793	1.121	0.793	1.121	-1.476	0.557	0.805	0.129	0.221	0.236	0.274	0.232	0.404	1.12	1.767	0.983	5.078	0	0	0	0	1.571	0.13	0.22	0.242	0.285	0.537	0.771	1.54	1.12
Aligned_pair1_d	130	1.441	0.803	1.114	0.803	1.114	1.495	0.559	0.803	0.132	0.229	0.239	0.286	0.237	0.417	1.12	1.693	1.052	4.979	0	0	0	0	1.571	0.133	0.229	0.252	0.295	0.527	0.776	1.61	1.12
Aligned_pair1_d	131	1.431	0.818	1.108	0.818	1.108	1.367	0.586	0.827	0.129	0.218	0.229	0.263	0.221	0.414	1.12	1.705	1.906	4.798	0	0	0	0	1.571	0.133	0.214	0.247	0.274	0.538	0.783	1.61	1.12
Aligned_pair1_d	132	1.426	0.829	1.104	0.829	1.104	1.46	0.559	0.814	0.13	0.22	0.235	0.27	0.232	0.417	1.12	1.722	1.107	5.194	0	0	0	0	1.571	0.131	0.219	0.239	0.278	0.549	0.786	1.61	1.12
Aligned_pair1_d	133	1.392	0.815	1.131	0.815	1.131	-1.459	0.603	0.806	0.119	0.228	0.229	0.282	0.197	0.389	1.115	1.826	1.004	5.375	0.99	0.876	0.204	0	1.571	0.12	0.226	0.225	0.298	0.534	0.759	1.54	1.12
Aligned_pair1_d	134	1.353	0.808	1.126	0.808	1.126	-1.542	0.476	0.784	0.108	0.222	0.225	0.284	0.226	0.395	0.98	1.754	1.071	5.119	0	0	0	0	1.571	0.108	0.222	0.235	0.287	0.458	0.775	1.61	0.98
Aligned_pair1_d	135	1.368	0.804	1.128	0.804	1.128	-1.495	0.501	0.805	0.108	0.228	0.227	0.284	0.215	0.379	0.98	1.85	1.056	5.102	0	0	0	0	1.571	0.108	0.228	0.238	0.293	0.456	0.778	1.61	0.98
Aligned_pair1_d	136	1.363	0.802	1.128	0.802	1.128	1.506	0.505	0.786	0.107	0.231	0.226	0.294	0.213	0.396	1.05	1.729	2.125	5.177	0	0	0	0	1.571	0.108	0.23	0.204	0.296	0.528	0.778	1.61	1.05
Aligned_pair1_d	137	1.338	0.81	1.122	0.81	1.122	1.53	0.525	0.776	0.104	0.215	0.223	0.277	0.197	0.37	1.05	1.754	1.071	5.194	0	0	0	0	1.571	0.104	0.215	0.2	0.278	0.52	0.772	1.61	1.05
Aligned_pair1_d	138	1.343	0.811	1.118	0.811	1.118	1.498	0.486	0.793	0.105	0.22	0.223	0.278	0.215	0.375	0.98	1.754	1.071	5.003	0	0	0	0	1.571	0.105	0.22	0.228	0.285	0.461	0.772	1.61	0.98
Aligned_pair1_d	139	1.348	0.812	1.107	0.812	1.107	1.549	0.522	0.789	0.106	0.219	0.225	0.277	0.203	0.386	1.05	1.729	1.016	5.136	0	0	0	0	1.571	0.106	0.219	0.199	0.279	0.532	0.783	1.61	1.05
Aligned_pair1_d	140	1.319	0.82	1.113	0.82	1.113	1.569	0.471	0.778	0.1	0.212	0.22	0.272	0.212	0.374	0.98	1.722	2.034	5.078	0	0	0	0	1.571	0.1	0.212	0.213	0.272	0.47	0.778	1.61	0.98
Aligned_pair1_d	141	1.304	0.825	1.122	0.825	1.122	-1.512	0.495	0.819	0.095	0.206	0.217	0.252	0.192	0.339	0.98	1.732	1.816	4.764	0.98	0.936	0.15	0	1.571	0.095	0.206	0.201	0.246	0.475	0.838	1.68	0.98
Aligned_pair1_d	142	1.309	0.807	1.133	0.807	1.133	1.557	0.465	0.783	0.098	0.21	0.218	0.268	0.21	0.362	0.98	1.683	1.866	4.839	0	0	0	0	1.571	0.098	0.21	0.214	0.268	0.457	0.782	1.61	0.98
Aligned_pair1_d	143	1.284	0.796	1.141	0.796	1.141	1.458	0.488	0.789	0.093	0.204	0.211	0.259	0.189	0.35	0.98	1.683	1.866	4.723	0	0	0	0	1.571	0.094	0.203	0.202	0.256	0.464	0.791	1.61	0.98
Aligned_pair1_d	144	1.279	0.822	1.138	0.822	1.138	1.47	0.481	0.723	0.092	0.199	0.211	0.276	0.192	0.36	0.98	1.67	2.147	4.648	0	0	0	0	1.571	0.093	0.198	0.198	0.277	0.472	0.718	1.47	0.98
Aligned_pair1_d	145	1.27	0.825	1.117	0.825	1.117	-1.532	0.494	0.718	0.093	0.193	0.211	0.268	0.188	0.352	0.98	1.67	0.994	4.781	0	0	0	0	1.571	0.093	0.193	0.196	0.274	0.475	0.703	1.47	0.98
Aligned_pair1_d	146	1.309	0.821	1.116	0.821	1.116	-1.514	0.494	0.766	0.096	0.208	0.217	0.272	0.194	0.379	0.98	1.693	2.09	4.938	0	0	0	0	1.571	0.096	0.208	0.204	0.271	0.471	0.766	1.54	0.98
Aligned_pair1_d	147	1.274	0.818	1.108	0.818	1.108	-1.523	0.49	0.758	0.095	0.188	0.212	0.248	0.194	0.352	0.98	1.597	1.837	4.583	0	0	0	0	1.571	0.095	0.188	0.203	0.248	0.468	0.757	1.54	0.98
Aligned_pair1_d	148	1.27	0.824	1.115	0.824	1.115	-1.492	0.5	0.763	0.093	0.188	0.21	0.247	0.187	0.359	0.98	1.612	0.971	4.699	0	0	0	0	1.571	0.094	0.188	0.198	0.246	0.474	0.764	1.54	0.98
Aligned_pair1_d	149	1.26	0.821	1.094	0.821	1.094	1.499	0.506	0.751	0.093	0.185	0.209	0.246	0.184	0.341	0.98	1.6	1.976	4.641	0.98	0.932	0.142	0	1.571	0.093	0.184	0.198	0.248	0.47	0.744	1.54	0.98
Aligned_pair1_d	150	1.24	0.826	1.089	0.826	1.089	1.393	0.492	0.784	0.086	0.184	0.2	0.235	0.175	0.331	0.98	1.633	2.111	4.525	0	0	0	0	1.571	0.089	0.182	0.187	0.248	0.476	0.732	1.47	0.98
Aligned_pair1_d	151	1.25	0.831	1.061	0.831	1.061	1.463	0.496	0.787	0.088	0.193	0.206	0.246	0.178	0.346	0.98	1.66	2.053	4.706	0	0	0	0	1.571	0.09	0.192	0.186	0.253	0.48	0.76	1.54	0.98
Aligned_pair1_d	152	1.255	0.836	1.084	0.836	1.084	1.537	0.497	0.745	0.086	0.198	0.209	0.266	0.174	0.351	0.98	1.66	2.053	4.607	0	0	0	0	1.571	0.086	0.198	0.178	0.27	0.486	0.733	1.47	0.98
Aligned_pair1_d	153	1.289	0.812	1.08	0.812	1.08	-1.5	0.485	0.74	0.093	0.2	0.214	0.27	0.192	0.367	0.98	1.628	2.015	4.566	0	0	0	0	1.571	0.094	0.199	0.203	0.273	0.462	0.73	1.47	0.98
Aligned_pair1_d	154	1.314	0.803	1.086	0.803	1.086	-1.442	0.511	0.777	0.093	0.214	0.215	0.275	0.182	0.371	0.98	1.67	0.994	4.566	0	0	0	0	1.571	0.095	0.212	0.208	0.287	0.457	0.736	1.54	0.98
Aligned_pair1_d	155	1.377	0.809	1.094	0.809	1.094	-1.57	0.521	0.744	0.105	0.229	0.23	0.308	0.201	0.413	1.05	1.639	1.222	4.641	0	0	0	0	1.571	0.105	0.229	0.201	0.308	0.521	0.743	1.54	1.05
Aligned_pair1_d	156	1.343	0.811	1.089	0.811	1.089	-1.565	0.53	0.74	0.1	0.216	0.224	0.291	0.189	0.392	1.12	1.66	1.088	4.914	0	0	0	0	1.571	0.1	0.216	0.189	0.292	0.53	0.739	1.54	1.12
Aligned_pair1_d	157	1.358	0.809	1.076	0.809	1.076	1.519	0.484	0.745	0.101	0.226	0.226	0.303	0.21	0.403	0.98	1.693	2.09	4.822	0.98	0.932	0.138	0	1.571	0.102	0.226	0.221	0.303	0.459	0.744	1.54	0.98
Aligned_pair1_d	158	1.348	0.813	1.085	0.813	1.085	-1.496	0.49	0.778	0.098	0.23	0.223	0.296	0.2	0.379	0.98	1.722	2.034	4.805	0	0	0	0	1.571	0.099	0.229	0.213	0.285	0.463	0.805	1.61	0.98
Aligned_pair1_d	159	1.377	0.809	1.078	0.809	1.078	-1.476	0.499	0.811	0.099	0.242	0.228	0.298	0.198	0.417	0.98	1.705	1.236	4.665	0	0	0	0	1.571	0.1	0.24	0.218	0.301	0.459	0.798	1.61	0.98
Aligned_pair1_d	160	1.363	0.807	1.069	0.807	1.069	-1.454	0.513	0.783	0.099	0.235	0.224	0.3	0.192	0.407	0.98	1.709	0.96	4.59	0	0	0	0	1.571	0.101	0.233	0.221	0.31	0.457	0.751	1.54	0.98
Aligned_pair1_d	161	1.431	0.808	1.093	0.808	1.093	-1.522	0.548	0.751	0.115	0.245	0.238	0.327	0.21	0.444	1.12	1.709	0.96	4.863	0	0	0	0	1.571	0.115	0.245	0.218	0.33	0.527	0.743	1.54	1.12
Aligned_pair1_d	162	1.431	0.811	1.077	0.811	1.077	-1.519	0.542	0.756	0.12	0.229	0.238	0.304	0.221	0.439	1.12	1.639	1.222	4.682	0	0	0	0	1.571	0.12	0.229	0.226	0.308	0.531	0.744	1.54	1.12
Aligned_pair1_d	163	1.431	0.826	1.079	0.826	1.079	-1.512	0.522	0.826	0.117	0.238	0.238	0.289	0.223	0.416	1.05	1.693	1.052	4.723	0	0	0	0	1.571	0.117	0.238	0.232	0.293	0.504	0.812	1.61	1.05
Aligned_pair1_d	164	1.358	0.82	1.068	0.82	1.068	-1.427	0.523	0.802	0.098	0.23	0.222	0.286	0.188	0.385	1.05	1.722	1.107	4.856	0	0	0	0	1.571	0.101	0.227	0.198	0.302	0.51	0.752	1.54	1.05
Aligned_pair1_d	165	1.343	0.796	1.071	0.796	1.071	-1.445	0.514	0.782	0.096	0.223	0.22	0.285	0.187	0.387	1.05	1.664	1.182	4.757	0.99	0.949	0.131	0	1.571	0.099	0.221	0.191	0.279	0.516	0.791	1.61	1.05
Aligned_pair1_d	166	1.372	0.789	1.074	0.789	1.074	-1.419	0.528	0.824	0.1	0.233	0.224	0.282	0.189	0.398	1.05	1.756	1.161	4.682	0	0	0	0	1.571	0.103	0.23	0.203	0.289	0.509	0.794	1.61	1.05
Aligned_pair1_d	167	1.421	0.789	1.085	0.789	1.085	-1.499	0.567	0.801	0.113	0.237	0.236	0.296	0.2	0.436	1.12	1.664	1.182	4.699	0	0	0	0	1.571	0.114	0.237	0.211	0.294	0.541	0.805	1.61	1.12
Aligned_pair1_d	168	1.417	0.795	1.071	0.795	1.071	-1.559	0.539	0.791	0.115	0.228	0.236	0.288	0.214	0.424	1.12	1.692	1.144	4.955	0	0	0	0	1.571	0.115	0.228	0.216	0.288	0.535	0.791	1.61	1.12
Aligned_pair1_d	169	1.421	0.796	1.073	0.796	1.073	1.551	0.542	0.814	0.115	0.233	0.237	0.287	0.213	0.418	1.12	1.693	1.446	4.757	0	0	0	0	1.571	0.115	0.233	0.216	0.286	0.534	0.817	1.68	1.12
Aligned_pair1_d	170	1.387	0.779	1.083	0.779	1.083	1.536	0.502	0.746	0.107	0.228	0.231	0.305	0.213	0.423	1.05	1.664	1.959	4.583	0	0	0	0	1.571	0.107	0.228	0.215	0.309	0.499	0.737	1.54	1.05
Aligned_pair1_d	171	1.387	0.78	1.081	0.78	1.081	-1.539	0.514	0.748	0.11	0.22	0.231	0.294	0.215	0.416	1.05	1.633	1.03	4.583	0	0	0	0	1.571	0.111	0.22	0.221	0.297	0.5	0.74	1.54	1.05
Aligned_pair1_d	172	1.392	0.766	1.059	0.766	1.059	-1.534	0.504	0.771	0.111	0.222	0.232	0.288	0.219	0.411	1.05	1.628	1.126	4.542	0	0	0	0	1.571	0.111	0.222	0.224	0.291	0.494	0.761	1.54	1.05
Aligned_pair1_d	173	1.431	0.76	1.066	0.76	1.066	-1.544	0.552	0.782	0.118	0.233	0.238	0.298	0.214	0.439	1.12	1.66	1.088	4.856	1.12	1.055	0.152	0	1.571	0.118	0.233	0.216	0.297	0.55	0.786	1.61	1.12
Aligned_pair1_d	174	1.471	0.767	1.064	0.767	1.064	1.487	0.571	0.783	0.129	0.237	0.243	0.303	0.225	0.438	1.19	1.692	1.997	4.856	0	0	0	0	1.571	0.129	0.237	0.23	0.313	0.564	0.756	1.54	1.19
Aligned_pair1_d	175	1.475	0.763	1.069	0.763	1.069	1.52	0.581	0.81	0.13	0.239	0.245	0.295	0.223	0.436	1.19	1.729	1.198	4.798	0	0	0	0	1.571	0.13	0.239	0.229	0.291	0.567	0.822	1.61	1.19
Aligned_pair1_d	176	1.495	0.766	1.066	0.766	1.066	1.538	0.544	0.821	0.125	0.264	0.249	0.321	0.23	0.458	1.12	1.716	1.365	4.839	0	0	0	0	1.571	0.125	0.264	0.225	0.32	0.556	0.824	1.68	1.12
Aligned_pair1_d	177	1.412	0.764	1.074	0.764	1.074	-1.46	0.53	0.834	0.111	0.235	0.232	0.282	0.21	0.411	1.05	1.756	1.161	4.682	0	0	0	0	1.571	0.113	0.233	0.227	0.286	0.497	0.816	1.61	1.05
Aligned_pair1_d	178	1.475	0.742	1.077	0.742	1.077	-1.482	0.545	0.827	0.123	0.251	0.244	0.303	0.225	0.448	1.12	1.692	1.144	4.699	0	0	0	0	1.571	0.124	0.25	0.233	0.307	0.532	0.814	1.61	1.12
Aligned_pair1_d	179	1.446	0.727	1.079	0.727	1.079	-1.481	0.536	0.76	0.12	0.24	0.239	0.316	0.224	0.447	1.12	1.67	0.994	4.723	0	0	0	0	1.571	0.121	0.239	0.227	0.322	0.534	0.741	1.54	1.12
Aligned_pair1_d	180	1.456	0.726	1.079	0.726	1.079	1.57	0.534	0.741	0.126	0.234	0.243	0.315	0.237	0.446	1.12	1.612	0.971	4.699	0	0	0	0	1.571	0.126	0.234	0.237	0.315	0.534	0.741	1.54	1.12
Aligned_pair1_d	181	1.461	0.738	1.07	0.738	1.07	-1.547	0.537	0.756	0.123	0.238	0.243	0.315	0.23	0.458	1.12	1.639	1.222	4.699	1.12	1.084	0.092	0	1.571	0.123	0.238	0.234	0.318	0.528	0.75	1.54	1.12
Aligned_pair1_d	182	1.446	0.747	1.081	0.747	1.081	-1.495	0.564	0.816	0.117	0.248	0.24	0.304	0.207	0.446	1.12	1.652	0.936	4.723	0	0	0	0	1.571	0.118	0.247	0.219	0.305	0.537	0.81	1.61	1.12
Aligned_pair1_d	183	1.382	0.742	1.093	0.742	1.093	-1.452	0.513	0.805	0.102	0.234	0.227	0.291	0.199	0.417	1.05	1.664	1.316	4.6	0	0	0	0	1.571	0.104	0.232	0.201	0.291	0.518	0.797	1.61	1.05
Aligned_pair1_d	184	1.363	0.722	1.102	0.722	1.102	-1.497	0.514	0.793	0.101	0.224	0.226	0.283	0.196	0.41	1.05	1.624	1.441	4.757	0	0	0	0	1.571	0.102	0.224	0.199	0.284	0.511	0.788	1.61	1.05
Aligned_pair1_d	185	1.392	0.7	1.115	0.7	1.115	-1.466	0.517	0.768	0.107	0.227	0.229	0.296	0.208	0.416	1.05	1.634	1.743	4.641	0	0	0	0	1.571	0.109	0.226	0.222	0.291	0.49	0.776	1.61	1.05
Aligned_pair1_d	186	1.407	0.708	1.129	0.708	1.129	-1.464	0.563	0.787	0.113	0.225	0.232	0.286	0.201	0.416	1.12	1.664	1.182	4.699	0	0	0	0	1.571	0.115	0.224	0.208	0.287	0.553	0.779	1.61	1.12
Aligned_pair1_d	187	1.421	0.719	1.136	0.719	1.136	-1.565	0.542	0.756	0.116	0.229	0.237	0.302	0.215	0.425	1.12	1.664	1.182	4.641	0	0	0	0	1.571	0.116	0.229	0.215	0.303	0.542	0.754	1.54	1.12
Aligned_pair1_d	188	1.353	0.72	1.148	0.72	1.148	-1.457	0.557	0.842	0.101	0.224	0.223	0.266	0.181	0.375	1.116	1.754	1.071	4.682	0	0	0	0	1.571	0.103	0.222	0.19	0.273	0.54	0.813	1.61	1.12
Aligned_pair1_d	189	1.338	0.721	1.145	0.721	1.145	-1.443	0.503	0.829	0.093	0.227	0.219	0.273	0.184	0.384	0.98	1.664	1.182	4.682	0.98	0.965	0.067	0	1.571	0.095	0.224	0.203	0.275	0.469	0.816	1.61	0.98
Aligned_pair1_d	190	1.323	0.712	1.16	0.712	1.16	-1.404	0.514	0.838	0.09	0.227	0.215	0.27	0.175	0.371	0.98	1.756	1.161	4.641	0	0	0	0	1.571	0.094	0.223	0.196	0.278	0.478	0.801	1.61	0.98
Aligned_pair1_d	191	1.338	0.705	1.175	0.705	1.175	-1.427	0.498	0.887	0.089	0.237	0.218	0.268	0.179	0.362	0.98	1.756	1.161	4.583	0	0	0	0	1.571	0.092	0.234	0.19	0.274	0.485	0.855	1.68	0.98
Aligned_pair1_d	192	1.387	0.688	1.194	0.688	1.194	-1.454	0.532	0.854	0.103	0.24	0.228	0.281	0.194	0.399	1.05	1.732	1.326	4.815	0	0	0	0	1.571	0.105	0.238	0.21	0.285	0.502	0.837	1.68	1.05
Aligned_pair1_d	193	1.417	0.689	1.196	0.689	1.196	-1.537	0.566	0.843	0.109	0.244	0.236	0.289	0.193	0.403	1.12	1.75	1.287	4.74	0	0	0	0	1.571	0.109	0.244	0.191	0.292	0.571	0.834	1.68	1.12
Aligned_pair1_d	194	1.368	0.7	1.187	0.7	1.187	-1.448	0.555	0.862	0.098	0.243	0.224	0.281	0.176	0.392	1.05	1.771	1.249	4.88	0	0	0	0	1.571	0.1	0.24	0.204	0.285	0.49	0.843	1.68	1.05
Aligned_pair1_d	195	1.333	0.712	1.23	0.712	1.23	-1.39	0.52	0.896	0.087	0.242	0.215	0.27	0.167	0.366	0.98	1.868	1.344	4.74	0	0	0	0	1.571	0.092	0.237	0.192	0.269	0.479	0.88	1.82	0.98
Aligned_pair1_d	196	1.309	0.705	1.217	0.705	1.217	-1.396	0.508	0.851	0.085	0.229	0.212	0.27	0.168	0.362	0.98	1.82	1.176	4.74	0	0	0	0	1.571	0.09	0.225	0.185	0.277	0.485	0.813	1.68	0.98
Aligned_pair1_d	197	1.284	0.684	1.257	0.684	1.257	-1.44	0.473	0.92	0.079	0.231	0.21	0.251	0.168	0.337	0.98	1.885	1.308	4.74	0.98	0.914	0.163	0	1.571	0.082	0.229	0.162	0.252	0.507	0.907	1.82	0.98
Aligned_pair1_d	198	1.274	0.697	1.269	0.697	1.269	-1.52	0.448	0.841	0.08	0.22	0.212	0.261	0.179	0.35	0.91	1.75	1.287	4.6	0	0	0	0	1.571	0.08	0.22	0.19	0.264	0.424	0.832	1.68	0.91
Aligned_pair1_d	199	1.221	0.724	1.287	0.724	1.287	-1.458	0.476	0.835	0.074	0.2	0.201	0.24	0.155	0.324	0.98	1.705	1.236	4.402	0	0	0	0	1.571	0.075	0.199	0.162	0.244	0.466	0.814	1.61	0.98
Aligned_pair1_d	200	1.211	0.752	1.296	0.752	1.296	-1.423	0.444	0.904	0.066	0.214	0.197	0.237	0.149	0.307	0.91	1.771	1.249	4.484	0	0	0	0	1.571	0.069	0.211	0.158	0.241	0.438	0.875	1.68	0.91
Aligned_pair1_d	201	1.181	0.75	1.301	0.75	1.301	-1.381	0.453	0.902	0.062	0.21	0.19	0.232	0.137	0.299	0.91	1.82	1.176	4.641	0	0	0	0	1.571	0.067	0.204	0.153	0.235	0.44	0.869	1.68	0.91
Aligned_pair1_d	202	1.181	0.739	1.315	0.739	1.315	-1.428	0.443	0.883	0.06	0.215	0.193	0.244	0.136	0.309	0.84	1.8	1.335	4.542	0	0	0	0	1.571	0.064	0.212	0.163	0.248	0.389	0.856	1.75	0.84
Aligned_pair1_d	203	1.201	0.72	1.296	0.72	1.296	-1.408	0.474	0.9	0.066	0.21	0.195	0.233	0.14	0.305	0.91	1.838	1.261	4.873	0	0	0	0	1.571	0.07	0.206	0.16	0.235	0.44	0.875	1.75	0.91
Aligned_pair1_d	204	1.265	0.719	1.309	0.719	1.309	-1.488	0.488	0.872	0.077	0.221	0.209	0.253	0.159	0.34	0.98	1.771	1.249	4.699	0	0	0	0	1.571	0.078	0.22	0.167	0.255	0.471	0.862	1.68	0.98
Aligned_pair1_d	205	1.245	0.738	1.314	0.738	1.314	-1.544	0.465	0.861	0.077	0.207	0.207	0.241	0.166	0.325	0.98	1.771	1.249	4.74	0.98	0.894	0.163	0	1.571	0.077	0.207	0.169	0.242	0.458	0.857	1.68	0.98
Aligned_pair1_d	206	1.221	0.745	1.325	0.745	1.325	-1.52	0.482	0.854	0.075	0.202	0.203	0.237	0.155	0.32	0.98	1.716	1.365	4.699	0	0	0	0	1.571	0.075	0.202	0.162	0.239	0.465	0.846	1.68	0.98
Aligned_pair1_d	207	1.147	0.751	1.336	0.751	1.336	-1.465	0.436	0.85	0.063	0.182	0.189	0.215	0.145	0.287	0.91	1.664	1.316	4.361	0	0	0	0	1.571	0.065	0.181	0.147	0.217	0.44	0.834	1.61	0.91
Aligned_pair1_d	208	1.142	0.742	1.344	0.742	1.344	-1.45	0.433	0.842	0.061	0.187	0.188	0.222	0.14	0.293	0.91	1.683	1.275	4.46	0	0	0	0	1.571	0.063	0.185	0.14	0.224	0.448	0.826	1.61	0.91
Aligned_pair1_d	209	1.132	0.738	1.366	0.738	1.366	-1.524	0.406	0.812	0.059	0.185	0.188	0.228	0.146	0.297	0.84	1.648	1.357	4.385	0	0	0	0	1.571	0.06	0.185	0.154	0.23	0.388	0.805	1.61	0.84
Aligned_pair1_d	210	1.132	0.744	1.378	0.744	1.378	-1.55	0.452	0.796	0.062	0.177	0.189	0.222	0.137	0.294	0.91	1.664	1.316	4.361	0	0	0	0	1.571	0.062	0.177	0.139	0.223	0.446	0.792	1.61	0.91
Aligned_pair1_d	211	1.132	0.76	1.365	0.76	1.365	1.536	0.436	0.797	0.063	0.172	0.188	0.216	0.144	0.283	0.91	1.634	1.399	4.361	0	0	0	0	1.571	0.063	0.172	0.146	0.213	0.43	0.805	1.61	0.91
Aligned_pair1_d	212	1.127	0.778	1.359	0.778	1.359	-1.498	0.459	0.825	0.063	0.175	0.187	0.212	0.136	0.283	0.91	1.648	1.357	4.303	0	0	0	0	1.571	0.063	0.175	0.148	0.215	0.428	0.811	1.61	0.91
Aligned_pair1_d	213	1.098	0.793	1.388	0.793	1.388	-1.46	0.423	0.803	0.057	0.175	0.181	0.218	0.134	0.284	0.84	1.639	1.222	4.542	0.84	0.789	0.134	0	1.571	0.058	0.173	0.146	0.222	0.398	0.782	1.54	0.84
Aligned_pair1_d	214	1.073	0.782	1.377	0.782	1.377	-1.469	0.414	0.812	0.054	0.167	0.177	0.206	0.131	0.269	0.84	1.664	1.182	4.344	0	0	0	0	1.571	0.055	0.166	0.136	0.209	0.409	0.794	1.54	0.84
Aligned_pair1_d	215	1.039	0.77	1.404	0.77	1.404	-1.504	0.382	0.779	0.048	0.163	0.172	0.209	0.126	0.266	0.77	1.616	1.263	4.187	0	0	0	0	1.571	0.049	0.162	0.139	0.212	0.35	0.766	1.54	0.77
Aligned_pair1_d	216	1.083	0.768	1.415	0.768	1.415	1.563	0.42	0.754	0.057	0.168	0.181	0.222	0.135	0.291	0.901	1.597	1.305	4.402	0	0	0	0	1.571	0.057	0.168	0.134	0.222	0.423	0.755	1.54	0.91
Aligned_pair1_d	217	1.054	0.783	1.407	0.783	1.407	1.556	0.434	0.761	0.055	0.152	0.176	0.199	0.126	0.26	0.91	1.597	1.305	4.32	0	0	0	0	1.571	0.055	0.152	0.127	0.199	0.432	0.763	1.54	0.91
Aligned_pair1_d	218	1.069	0.799	1.393	0.799	1.393	-1.563	0.393	0.78	0.056	0.16	0.178	0.205	0.142	0.265	0.84	1.616	1.263	4.402	0	0	0	0	1.571	0.056	0.16	0.143	0.205	0.391	0.778	1.54	0.84
Aligned_pair1_v	20	1.024	0.685	0.919	0.685	0.919	-1.514	0.508	0.647	0.075	0.1	0.17	0.155	0.147	0.259	1.05	1.39	0.857	4.023	3.151	2.819	0.624										
Aligned_pair1_v	21	1.024	0.678	0.902	0.678	0.902	1.472	0.508	0.644	0.075	0.1	0.169	0.154	0.147	0.27	0.98	1.345	2.246	3.965	0	NaN	NaN										
